代號	名稱	營收(億)	淨利(%)	ROA(%)	ROE(%)	EPS增減(元)	y
6598	ABC-KY	0.27	-985	-64.6	-74.8	1.09	1
6456	GIS-KY	"1,308"	5.32	12.6	37.8	-0.39	0
4971	IET-KY	8.79	14.6	8.26	8.78	-1.07	0
5284	jpp-KY	12.7	16	10.2	14.5	-0.84	0
6643	M31	6.34	29.4	23.6	32.1	1.96	1
4803	VHQ-KY	13	26.5	14	30.7	-1.42	0
2945	三商家購	112	1.07	4.14	24.5	-2.49	0
6671	三能-KY	20.3	11.9	10.9	16.9	4.75	1
3708	上緯投控	49	4.82	2.5	5.28	-2.23	0
6668	中揚光	10	24.2	17.2	26.8	2.73	1
5871	中租-KY	415	24.1	3.26	20.5	-0.68	0
1590	亞德客-KY	137	24	12.7	24.7	-5.77	0
6497	亞獅康-KY	0		-74.1	-101	-0.14	0
6696	仁新	0		-29.3	-30.8	11.4	1
6689	伊雲谷	23.5	3.27	6.69	18.7	9.01	1
4190	佐登-KY	23.1	7.88	4.01	12.4	-1.71	0
6443	元晶	66.4	-14.2	-9.61	-20.9	-0.42	0
6431	光麗-KY	1.07	-149	-27.8	-31.2	-0.53	0
4148	全宇生技-KY	22.6	17.5	16.5	20.3	-1.78	0
4540	全球傳動	27.1	7.88	5.59	13.1	-1.64	0
2115	六暉-KY	26.5	10.4	8.69	12.9	-4.56	0
6617	共信-KY	0.01	-9999	-17.4	-20	1.6	1
1258	其祥-KY	24.8	2.45	3.06	6.71	-7.6	0
1337	再生-KY	45.9	3.97	1.66	1.84	-6.39	0
6490	凌昇科	2.06	-19.4	-15.3	-29.9	-0.2	0
2246	凱勝綠能	2.78	-42.5	-11.4	-20.6	-3.29	0
2939	凱羿-KY	56	15.3	47.4	64.4	-2.57	0
6566	創益	2.41	1.67	1.22	1.75	0.45	1
4552	力達-KY	81.2	11.4	14.8	18.9	-1.64	0
6591	動力-KY	12.9	6.69	7.02	12.4	1.03	1
6556	勝品	11.9	2.98	1.84	4.28	0.37	1
1340	勝悅-KY	34.1	24.5	12.4	13.3	-5.93	0
6572	博錸	0.27	-832	-80	-113	0.7	1
6589	台康生技	2.98	-58.7	-11	-14.3	1.01	1
6649	台生材	0.02	-2641	-9.32	-9.53	2.12	1
6580	台睿		0	-14.9	-15.2	0.91	1
3704	合勤控	191	-2.98	-3.9	-6.88	-2.42	0
5880	合庫金	466	31.6	0.44	7.28	-0.66	0
6626	唯數	10.4	3.65	3.42	6.78	1.82	1
4193	喬本	5.54	11	3.78	5.63	-1.65	0
6653	嘉貿	1.9	-0.17	-0.11	-0.13	2.29	1
6640	均華	9.77	6.63	4.78	7.95	1.93	1
6641	基士德-KY	16.2	8.9	11.6	20.4	1.94	1
5281	大峽谷-KY	14.2	9.32	9.31	17.3	-0.85	0
4804	大略-KY	13.3	5.43	5.65	10.2	-1.41	0
6654	天正國際	6.7	14.6	11.6	27.7	2.34	1
6612	奈米醫材	2.66	12.4	7.99	10.3	1.27	1
6473	好玩家*	1.92	-122	-76.3	-96	-0.24	0
6465	威潤	2.45	14.9	7.12	9.6	-0.32	0
5223	安力-KY	14	6.19	3.93	6.98	-1.03	0
6610	安成生技	0.75	-140	-33.3	-36.7	1.21	1
6684	安格	3.42	24.5	20	25	7.35	1
6564	安特羅	0.02	-2016	-7.93	-8.08	0.42	1
2243	宏旭-KY	21.6	2.01	1.12	4.63	-3.37	0
2936	客思達-KY	119	0.24	0.55	0.95	-2.64	0
1341	富林-KY	27.6	9.24	17.4	37.9	-5.89	0
6594	展匯科	4.33	4.92	5.09	6.42	1.04	1
5543	崇佑-KY	9.65	-6.35	-5.42	-8.49	-0.75	0
6650	帝圖	1.68	25	19.3	22.9	2.26	1
6452	康友-KY	43	21.8	11.4	14.7	-0.41	0
4943	康控-KY	52.7	20.8	19.7	38.1	-1.08	0
4154	康樂-KY	4.51	-8.5	-11.3	-18.9	-1.76	0
6518	康科特	6.47	0.1	0.07	0.13	-0.01	0
4144	康聯-KY	26.4	11.2	7.72	11.5	-1.88	0
6665	康聯生醫	11.1	21	23.3	33.1	2.49	1
1338	廣華-KY	79.7	9.31	7.71	11.2	-6.08	0
6441	廣錠	14.1	10.8	16.5	22.4	-0.46	0
6482	弘煜科	3.44	0.49	0.37	0.48	-0.22	0
4560	強信-KY	13.7	14.8	10.9	15.6	-1.54	0
6670	復盛應用	141	9.79	15.6	57.6	3.92	1
6575	心悅		0	-44.8	-46.6	0.78	1
6625	必應	11.1	3.76	5.98	11.1	1.8	1
6531	愛普	42.4	5.58	6.66	8.59	0.23	1
6615	慧智	4.24	10.6	12	15.3	1.29	1
4164	承業醫	21.2	-4.22	-0.88	-1.81	-1.72	0
6611	方舟	0.57	-120	-53.2	-63.9	1.25	1
4807	日成-KY	21.5	10.4	16.4	23.8	-1.41	0
6527	明達醫	4.94	6.8	6.47	8.09	0.01	1
6599	普達系統	11.9	3.24	5.15	7.54	1.11	1
6549	景凱		0	-59.5	-64.8	0.32	1
6491	晶碩	21.8	13.9	12.5	22.5	-0.19	0
2738	曼哈頓-KY	7.43	1.22	0.33	1.23	-2.92	0
4763	材料-KY	17.5	9.51	8.22	12.1	-1.47	0
2924	東凌-KY	8.86	-10.9	-8.15	-13.7	-2.68	0
5538	東明-KY	75.9	9.03	11.7	18.6	-0.78	0
5225	東科-KY	76.9	1.62	2.8	8.35	-1.02	0
2750	桃禧	4.57	5.67	1.87	5.25	-2.69	0
6468	棒辣椒	7.54	20.8	28.3	37.4	-0.26	0
6555	榮炭	4.19	4.92	2.29	3.2	0.33	1
4924	欣厚-KY	5.5	-4.8	-5.5	-8.65	-1.29	0
6634	欣耀		0	-22.9	-23.4	1.89	1
3703	欣陸	284	2.85	1.3	3.48	-2.47	0
6534	正瀚	7.81	37.2	17.4	37.7	0.24	1
3705	永信	66.2	7.06	4.41	7.77	-2.35	0
4557	永新-KY	13.6	13.8	11.1	14.8	-1.56	0
6618	永虹先進	0.05	-2963	-49	-71.7	1.66	1
4159	泉盛	0.05	-3847	-6.04	-6.11	-1.73	0
6467	泰合藥	0.12	-1106	-52.2	-56.4	-0.3	0
6541	泰福-KY	0		-35.9	-38.5	0.27	1
